Study ID,Study Title,Institute,Analysis,Released,Samples,tissue,condition,treatment,Download  (* : Contains raw data),url,Collection Summary,Sample Type,Collection Location,analysis_id,ion_mode,ms_instrument_type,ms_instrument_name,ms_method_file,lc_type,lc_system,column_model,lc_method_file,analytical_time,lc_summary
ST000934,Metabolome profiles in urogenital schistosomiasis and associated pathologies,"University of Ibadan, Nigeria",LC-MS  #,12/11/18 0:00,32,urine and plasma,urogenital schistosomiasis and associated pathologies,,Uploaded data (6.4G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000934,blood and urine samples collected from volunteers in the morning hours. Plasma was separated from blood. urine was examined for S. haematobium infection. Distended Bladder scans were carried out,blood and urine,,AN001531,NEGATIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,,Reversed phase,Q-Exactive hybrid quadrupole orbitrap mass spectrometer,,,,
ST000954,Explore Metabolites and Pathways Associated Increased Airway Hyperresponsiveness in Asthma,University of Florida,LC-MS  #,1/19/21 0:00,55,plasma,,,Uploaded data (32.3G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000954,Whole blood is collected in an EDTA vacutainer at Visit 2 after two weeks of fluticasone therapy. 1 ml aliquots at 80¬∞C,Blood (whole),Nemours Children's Clinic Phlebotomy Laboratory.,AN001564,POSITIVE,Orbitrap,Thermo Q Exactive Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,,,
ST000954,Explore Metabolites and Pathways Associated Increased Airway Hyperresponsiveness in Asthma,University of Florida,LC-MS  #,1/19/21 0:00,55,plasma,,,Uploaded data (32.3G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000954,Whole blood is collected in an EDTA vacutainer at Visit 2 after two weeks of fluticasone therapy. 1 ml aliquots at 80¬∞C,Blood (whole),Nemours Children's Clinic Phlebotomy Laboratory.,AN001565,NEGATIVE,Orbitrap,Thermo Q Exactive Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,,,
ST000973,Metabolome profiles in urogenital schistosomiasis and associated pathologies (part II),"University of Ibadan, Nigeria",LC-MS  #,12/11/18 0:00,48,urine and plasma,urogenital schistosomiasis and associated pathologies,,Uploaded data (9.4G)  *   (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000973,blood and urine samples collected from volunteers in the morning hours. Plasma was separated from blood. urine was examined for S. haematobium infection. Distended Bladder scans were carried out,Plasma;Urine,,AN001594,POSITIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,,Reversed phase,Q-Exactive hybrid quadrupole orbitrap mass spectrometer,,,,
ST001004,Denver Asthma Panel Study-CHEAR Ancillary Study,Emory University,LC-MS  #,8/31/21 0:00,168,plasma,Asthma,,Uploaded data (24.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001004,Blood plasma samples were collected from nonfasting participants in the Denver Asthma Panel Study at enrollment (baseline). Blood samples were collected in tubes containing EDTA and after centrifugation aliquots of plasma were transferred to 1.8 ml freezer tubes and stored in a -70 degrees C freezer.,Plasma - EDTA,,AN001714,POSITIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,HILIC,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_posHILIC120kres5min_ESI_c18negwash.meth,5 min,
ST001004,Denver Asthma Panel Study-CHEAR Ancillary Study,Emory University,LC-MS  #,8/31/21 0:00,168,plasma,Asthma,,Uploaded data (24.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001004,Blood plasma samples were collected from nonfasting participants in the Denver Asthma Panel Study at enrollment (baseline). Blood samples were collected in tubes containing EDTA and after centrifugation aliquots of plasma were transferred to 1.8 ml freezer tubes and stored in a -70 degrees C freezer.,Plasma - EDTA,,AN001714,POSITIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,HILIC,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_posHILIC120kres5min_ESI_c18negwash.meth,5 min,
ST001004,Denver Asthma Panel Study-CHEAR Ancillary Study,Emory University,LC-MS  #,8/31/21 0:00,168,plasma,Asthma,,Uploaded data (24.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001004,Blood plasma samples were collected from nonfasting participants in the Denver Asthma Panel Study at enrollment (baseline). Blood samples were collected in tubes containing EDTA and after centrifugation aliquots of plasma were transferred to 1.8 ml freezer tubes and stored in a -70 degrees C freezer.,Plasma - EDTA,,AN001714,POSITIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,HILIC,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_negC18120kres5min_ESI_HILICposwash.meth,5 min,
ST001004,Denver Asthma Panel Study-CHEAR Ancillary Study,Emory University,LC-MS  #,8/31/21 0:00,168,plasma,Asthma,,Uploaded data (24.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001004,Blood plasma samples were collected from nonfasting participants in the Denver Asthma Panel Study at enrollment (baseline). Blood samples were collected in tubes containing EDTA and after centrifugation aliquots of plasma were transferred to 1.8 ml freezer tubes and stored in a -70 degrees C freezer.,Plasma - EDTA,,AN001714,POSITIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,HILIC,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_negC18120kres5min_ESI_HILICposwash.meth,5 min,
ST001004,Denver Asthma Panel Study-CHEAR Ancillary Study,Emory University,LC-MS  #,8/31/21 0:00,168,plasma,Asthma,,Uploaded data (24.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001004,Blood plasma samples were collected from nonfasting participants in the Denver Asthma Panel Study at enrollment (baseline). Blood samples were collected in tubes containing EDTA and after centrifugation aliquots of plasma were transferred to 1.8 ml freezer tubes and stored in a -70 degrees C freezer.,Plasma - EDTA,,AN001715,NEGATIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_posHILIC120kres5min_ESI_c18negwash.meth,5 min,
ST001004,Denver Asthma Panel Study-CHEAR Ancillary Study,Emory University,LC-MS  #,8/31/21 0:00,168,plasma,Asthma,,Uploaded data (24.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001004,Blood plasma samples were collected from nonfasting participants in the Denver Asthma Panel Study at enrollment (baseline). Blood samples were collected in tubes containing EDTA and after centrifugation aliquots of plasma were transferred to 1.8 ml freezer tubes and stored in a -70 degrees C freezer.,Plasma - EDTA,,AN001715,NEGATIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_posHILIC120kres5min_ESI_c18negwash.meth,5 min,
ST001004,Denver Asthma Panel Study-CHEAR Ancillary Study,Emory University,LC-MS  #,8/31/21 0:00,168,plasma,Asthma,,Uploaded data (24.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001004,Blood plasma samples were collected from nonfasting participants in the Denver Asthma Panel Study at enrollment (baseline). Blood samples were collected in tubes containing EDTA and after centrifugation aliquots of plasma were transferred to 1.8 ml freezer tubes and stored in a -70 degrees C freezer.,Plasma - EDTA,,AN001715,NEGATIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_negC18120kres5min_ESI_HILICposwash.meth,5 min,
ST001004,Denver Asthma Panel Study-CHEAR Ancillary Study,Emory University,LC-MS  #,8/31/21 0:00,168,plasma,Asthma,,Uploaded data (24.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001004,Blood plasma samples were collected from nonfasting participants in the Denver Asthma Panel Study at enrollment (baseline). Blood samples were collected in tubes containing EDTA and after centrifugation aliquots of plasma were transferred to 1.8 ml freezer tubes and stored in a -70 degrees C freezer.,Plasma - EDTA,,AN001715,NEGATIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_negC18120kres5min_ESI_HILICposwash.meth,5 min,
ST001132,Investigate the False Discovery in Biomarker Research Using LC-HRMS based Untargeted Metabolomics Profiling,University of Macau,LC-MS  #,3/3/20 0:00,61,plasma ,22 “true biomarkers” added,,Uploaded data (2G)  *  (Data format:mzXML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001132,"Pooled human potassium EDTA plasma was purchased from a commercial company (Equitech-Bio Inc., Kerrville, TX, USA)",Blood (plasma),,AN001857,POSITIVE,Orbitrap,Thermo Q Exactive Orbitrap,,HILIC,Thermo Dionex Ultimate 3000 RS,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Chromatography,21 min,
ST001161,Evaluation of computational tools using serial mixtures of human plasma and vegetable juice (part-I),Emory University,LC-MS  #,5/15/19 0:00,13,plasma(and food mixture),,,Uploaded data (2.1G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001161,Commecially available,Blood (plasma),,AN001919,POSITIVE,Orbitrap,Thermo LTQ Orbitrap Velos,,HILIC,Thermo ScientificTM LTQ Orbitrap Velos,,,,
ST001161,Evaluation of computational tools using serial mixtures of human plasma and vegetable juice (part-I),Emory University,LC-MS  #,5/15/19 0:00,13,plasma(and food mixture),,,Uploaded data (2.1G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001161,Commecially available,Blood (plasma),,AN001919,POSITIVE,Orbitrap,Thermo LTQ Orbitrap Velos,,HILIC,Thermo ScientificTM LTQ Orbitrap Velos,,,,
ST001161,Evaluation of computational tools using serial mixtures of human plasma and vegetable juice (part-I),Emory University,LC-MS  #,5/15/19 0:00,13,plasma(and food mixture),,,Uploaded data (2.1G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001161,Commecially available,Blood (plasma),,AN001920,POSITIVE,Orbitrap,Thermo Velos LTQ Orbitrap,,Reversed phase,Thermo ScientificTM LTQ Orbitrap Velos,,,,
ST001161,Evaluation of computational tools using serial mixtures of human plasma and vegetable juice (part-I),Emory University,LC-MS  #,5/15/19 0:00,13,plasma(and food mixture),,,Uploaded data (2.1G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001161,Commecially available,Blood (plasma),,AN001920,POSITIVE,Orbitrap,Thermo Velos LTQ Orbitrap,,Reversed phase,Thermo ScientificTM LTQ Orbitrap Velos,,,,
ST001169,Alterations in serum metabolic patterns are associated with atrial fibrillation,Beijing Chaoyang Hospital,LC-MS  #,4/17/19 0:00,65,serum,atrial fibrillation,,Uploaded data (7.5G)  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001169,"Blood samples were collected from each participant, immediately frozen at ‚àí20 ¬∞C, transported on ice to the laboratory and then stored at ‚àí80 ¬∞C.",Blood (serum),,AN001933,POSITIVE,Orbitrap,Thermo Orbitrap Elite Hybrid Ion Trap-Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,,,
ST001169,Alterations in serum metabolic patterns are associated with atrial fibrillation,Beijing Chaoyang Hospital,LC-MS  #,4/17/19 0:00,65,serum,atrial fibrillation,,Uploaded data (7.5G)  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001169,"Blood samples were collected from each participant, immediately frozen at ‚àí20 ¬∞C, transported on ice to the laboratory and then stored at ‚àí80 ¬∞C.",Blood (serum),,AN001934,NEGATIVE,Orbitrap,Thermo Orbitrap Elite Hybrid Ion Trap-Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,,,
ST001171,Metabolomics of World Trade Center Exposed New York City Firefighters,New York University,LC-MS  #,2/26/21 0:00,248,serum,World Trade Center Exposed New York City Firefighters,,Uploaded data (21.6G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001171,Fasting blood drawn,Blood (serum),"Bureau of Health Services (BHS) and the FDNY Headquarters, (9 Metrotech Center, Brooklyn, NY)",AN001936,POSITIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,,Reversed phase,Thermo Vanquish,,,,
ST001181,Child Health and Development Studies womb to breast cancer F0 metabolomics,Emory University,LC-MS  #,10/11/19 0:00,397,serum,maternal perinatal serum samples,,Uploaded data (114.2G)  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001181,"Blood serum samples were collected from nonfasting participants in the CHDS Study during preganancy (trimester 1-3) or early postpartum (trimester 4). The CHDS recruited women residing in the Oakland, California area who were members of the Kaiser Foundation Health Plan and received obstetric care for pregnancies between 1959 and 1967. All serum samples were stored at -20¬∞C at the repository and shipped frozen to the laboratory for further storage at -80¬∞C.",Blood (serum),,AN001959,POSITIVE,Orbitrap,Thermo Q Exactive Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,,,
ST001193,MARBLES (Markers of Autism Risk in Babies: Learning Early Sign) Enriched Cohort Study: Internal Metabolomic Biomarker Exposome and Development Disorders (IMBEDD),Emory University,LC-MS  #,8/31/21 0:00,181,cord blood/plasma,baby 0-3,,Uploaded data (52.4G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001193,Cord blood samples were collected from infant participants at birth. Cord blood collected in tubes containing EDTA were transferred to 1.8ml freezer tubes and stored in a -70 degrees C freezer. The samples were shipped on dry ice from the University of California Davis biorepository storage facility and subsequently to the metabolomics analysis lab at Emory University.,Cord Blood,,AN001988,POSITIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,HILIC,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_posHILIC120kres5min_ESI_c18negwash.meth,5 min,
ST001193,MARBLES (Markers of Autism Risk in Babies: Learning Early Sign) Enriched Cohort Study: Internal Metabolomic Biomarker Exposome and Development Disorders (IMBEDD),Emory University,LC-MS  #,8/31/21 0:00,181,cord blood/plasma,baby 0-3,,Uploaded data (52.4G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001193,Cord blood samples were collected from infant participants at birth. Cord blood collected in tubes containing EDTA were transferred to 1.8ml freezer tubes and stored in a -70 degrees C freezer. The samples were shipped on dry ice from the University of California Davis biorepository storage facility and subsequently to the metabolomics analysis lab at Emory University.,Cord Blood,,AN001988,POSITIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,HILIC,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_negC18120kres5min_ESI_HILICposwash.meth,5 min,
ST001193,MARBLES (Markers of Autism Risk in Babies: Learning Early Sign) Enriched Cohort Study: Internal Metabolomic Biomarker Exposome and Development Disorders (IMBEDD),Emory University,LC-MS  #,8/31/21 0:00,181,cord blood/plasma,baby 0-3,,Uploaded data (52.4G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001193,Cord blood samples were collected from infant participants at birth. Cord blood collected in tubes containing EDTA were transferred to 1.8ml freezer tubes and stored in a -70 degrees C freezer. The samples were shipped on dry ice from the University of California Davis biorepository storage facility and subsequently to the metabolomics analysis lab at Emory University.,Cord Blood,,AN001989,NEGATIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_posHILIC120kres5min_ESI_c18negwash.meth,5 min,
ST001193,MARBLES (Markers of Autism Risk in Babies: Learning Early Sign) Enriched Cohort Study: Internal Metabolomic Biomarker Exposome and Development Disorders (IMBEDD),Emory University,LC-MS  #,8/31/21 0:00,181,cord blood/plasma,baby 0-3,,Uploaded data (52.4G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001193,Cord blood samples were collected from infant participants at birth. Cord blood collected in tubes containing EDTA were transferred to 1.8ml freezer tubes and stored in a -70 degrees C freezer. The samples were shipped on dry ice from the University of California Davis biorepository storage facility and subsequently to the metabolomics analysis lab at Emory University.,Cord Blood,,AN001989,NEGATIVE,Orbitrap,Thermo Q Exactive HF hybrid Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=EmoryUniversity_HRM_QEHF-MS_092017_v1.pdf,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=20160920_negC18120kres5min_ESI_HILICposwash.meth,5 min,
